127.0.0.1 - - [16/Mar/2018:17:34:35 +0800] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [16/Mar/2018:17:34:36 +0800] "GET /YouBike/ HTTP/1.1" 200 1325
0:0:0:0:0:0:0:1 - - [16/Mar/2018:17:34:36 +0800] "GET /YouBike/plugin/jquery/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:17:34:36 +0800] "GET /YouBike/plugin/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:17:34:36 +0800] "GET /YouBike/js/youBike.js HTTP/1.1" 200 2411
0:0:0:0:0:0:0:1 - - [16/Mar/2018:17:34:36 +0800] "GET /YouBike/css/youBike.css HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [16/Mar/2018:17:34:36 +0800] "GET /YouBike/plugin/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:17:34:36 +0800] "GET /YouBike/plugin/fontawsome-5.0.6/fontawesome-all.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:17:34:42 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126375
0:0:0:0:0:0:0:1 - - [16/Mar/2018:17:34:43 +0800] "GET /YouBike/images/bike.png HTTP/1.1" 200 4545
0:0:0:0:0:0:0:1 - - [16/Mar/2018:17:34:44 +0800] "GET /YouBike/ HTTP/1.1" 200 1325
0:0:0:0:0:0:0:1 - - [16/Mar/2018:17:34:44 +0800] "GET /YouBike/css/youBike.css HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [16/Mar/2018:17:34:44 +0800] "GET /YouBike/js/youBike.js HTTP/1.1" 200 2411
0:0:0:0:0:0:0:1 - - [16/Mar/2018:17:34:44 +0800] "GET /YouBike/plugin/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [16/Mar/2018:17:34:44 +0800] "GET /YouBike/plugin/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [16/Mar/2018:17:34:44 +0800] "GET /YouBike/plugin/jquery/js/jquery-3.3.1.min.js HTTP/1.1" 200 86926
0:0:0:0:0:0:0:1 - - [16/Mar/2018:17:34:44 +0800] "GET /YouBike/plugin/fontawsome-5.0.6/fontawesome-all.min.js HTTP/1.1" 200 672449
0:0:0:0:0:0:0:1 - - [16/Mar/2018:17:34:44 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126375
0:0:0:0:0:0:0:1 - - [16/Mar/2018:17:34:44 +0800] "GET /YouBike/images/bike.png HTTP/1.1" 200 4545
