0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:07:08 +0800] "GET /YouBike/plugin/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 551641
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:07:08 +0800] "GET /YouBike/plugin/bootstrap/js/bootstrap.min.js.map HTTP/1.1" 200 161998
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:07:08 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126446
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:07:12 +0800] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:06 +0800] "GET /YouBike/ HTTP/1.1" 200 2932
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:06 +0800] "GET /YouBike/plugin/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:06 +0800] "GET /YouBike/css/youBike.css HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:06 +0800] "GET /YouBike/plugin/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:06 +0800] "GET /YouBike/plugin/jquery/js/jquery-3.3.1.min.js HTTP/1.1" 200 86926
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:06 +0800] "GET /YouBike/plugin/bootstrap/js/bootstrap.min.js.map HTTP/1.1" 200 161998
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:06 +0800] "GET /YouBike/plugin/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 551641
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:08 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:09 +0800] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:09 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:10 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:11 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:12 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:13 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:14 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:15 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:16 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:17 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:19 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:20 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:21 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:22 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:23 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:24 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:25 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:26 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:27 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:28 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:29 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:30 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:31 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:32 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:33 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:34 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:35 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:36 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:37 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:38 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:39 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:40 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:41 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:42 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:43 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:44 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:45 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:46 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:48 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:49 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:50 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:51 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:52 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:53 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:54 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:55 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:55 +0800] "GET /YouBike/ HTTP/1.1" 200 2980
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:56 +0800] "GET /YouBike/plugin/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:56 +0800] "GET /YouBike/css/youBike.css HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:56 +0800] "GET /YouBike/plugin/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:56 +0800] "GET /YouBike/plugin/jquery/js/jquery-3.3.1.min.js HTTP/1.1" 200 86926
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:56 +0800] "GET /YouBike/plugin/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 551641
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:56 +0800] "GET /YouBike/plugin/bootstrap/js/bootstrap.min.js.map HTTP/1.1" 200 161998
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:56 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:45:57 +0800] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [08/Mar/2018:17:50:00 +0800] "POST /YouBike/youBike/getYouBikeData HTTP/1.1" 200 126438
